ingredient_name,form_id,effect_name,effect_form_id,base_cost,magnitude,duration,power_affects_magnitude,power_affects_duration,no_magnitude,no_duration,beneficial,harmful,hostile,duration_based,keyword_editor_ids,source_effect_form_id,resolved_effect_form_id
Angler Larvae,0x50008F0,Waterbreathing,0x3AC2D,7.7,0,299,0,1,1,0,1,0,0,1,MagicAlchBeneficial;MagicAlchDurationBased,0x3AC2D,0x3AC2D
Angler Larvae,0x50008F0,Fortify Two-handed,0x3EB1A,0.325,1.68,60,1,0,0,0,1,0,0,0,MagicAlchFortifyTwoHanded;MagicAlchBeneficial,0x3EB1A,0x3EB1A
Argonian Scales,0x1CCA135,Resist Poison,0x90041,0.157,6.62,60,1,0,0,0,1,0,0,0,MagicAlchResistPoison;MagicAlchBeneficial,0x90041,0x90041
Argonian Scales,0x1CCA135,Resist Disease,0x806AE45,0.015,100,3164,0,1,0,0,1,0,0,1,MagicAlchResistDisease_CACO;MagicAlchBeneficial;MagicAlchDurationBased,0x806AE45,0x806AE45
Argonian Scales,0x1CCA135,Fortify Light Armor,0x3EB1F,0.51,2.33,60,1,0,0,0,1,0,0,0,MagicAlchFortifyLightArmor;MagicAlchBeneficial,0x3EB1F,0x3EB1F
Argonian Scales,0x1CCA135,Fortify Lockpicking,0x3EB21,0.58,3.92,30,1,0,0,0,1,0,0,0,MagicAlchFortifyLockpicking;MagicAlchBeneficial,0x3EB21,0x3EB21
Arrowroot,0x8102EA7,Slow,0x73F25,0.3,50,369,0,1,0,0,0,1,1,1,MagicAlchHarmful;MagicSlow;MagicAlchDurationBased,0x73F25,0x73F25
Arrowroot,0x8102EA7,Fortify Archery,0x3EB1B,0.325,2.8,60,1,0,0,0,1,0,0,0,MagicAlchFortifyMarksman;MagicAlchBeneficial,0x3EB1B,0x3EB1B
Arrowroot,0x8102EA7,Fortify Unarmed,0x804C7FE,1.43,0.4,60,1,0,0,0,1,0,0,0,MagicAlchBeneficial;MagicAlchFortifyUnarmed_CACO,0x804C7FE,0x804C7FE
Arrowroot,0x8102EA7,Speed,0x80425F1,0.098,6,60,1,0,0,0,1,0,0,0,MagicAlchBeneficial;MagicAlchFortifySpeed_CACO,0x80425F1,0x80425F1
Ash Creep Cluster,0x401CD74,Resist Fire,0x3EAEA,0.365,2.53,60,1,0,0,0,1,0,0,0,MagicAlchResistFire;MagicAlchBeneficial,0x3EAEA,0x3EAEA
Ash Creep Cluster,0x401CD74,Damage Stamina,0x3A2C6,4.6,12.21,1,1,0,0,0,0,1,1,0,MagicAlchHarmful;MagicAlchDamageStamina,0x3A2C6,0x3A2C6
Ash Creep Cluster,0x401CD74,Invisibility,0x3EB3D,27,0,331,0,1,1,0,1,0,0,1,MagicInvisibility;MagicAlchBeneficial;MagicAlchDurationBased,0x3EB3D,0x3EB3D
Ash Creep Cluster,0x401CD74,Fortify Destruction,0x3EB26,0.325,1.96,60,1,0,0,0,1,0,0,0,MagicAlchFortifyDestruction;MagicAlchBeneficial,0x3EB26,0x3EB26
Ash Hopper Jelly,0x401CD71,Health,0x3EB15,5.3,11.1,1,1,0,0,0,1,0,0,0,MagicAlchRestoreHealth;MagicAlchBeneficial,0x3EB15,0x3EB15
Ash Hopper Jelly,0x401CD71,Frost Aversion,0x73F2E,0.32,5.34,30,1,0,0,0,0,1,1,0,MagicAlchHarmful;MagicAlchWeaknessFrost,0x73F2E,0x73F2E
Ash Hopper Jelly,0x401CD71,Fortify Illusion,0x3EB27,0.172,4.15,60,1,0,0,0,1,0,0,0,MagicAlchFortifyIllusion;MagicAlchBeneficial,0x3EB27,0x3EB27
Ash Hopper Jelly,0x401CD71,Fortify Light Armor,0x3EB1F,0.51,1.24,60,1,0,0,0,1,0,0,0,MagicAlchFortifyLightArmor;MagicAlchBeneficial,0x3EB1F,0x3EB1F
Ash Salts,0x401CD6D,Drain Strength,0x80476F6,0.67,3.85,30,1,0,0,0,0,1,1,0,MagicAlchHarmful,0x80476F6,0x80476F6
Ash Salts,0x401CD6D,Fortify Enchanting,0x3EB29,0.71,1.68,60,1,0,0,0,1,0,0,0,MagicAlchFortifyEnchanting;MagicAlchBeneficial,0x3EB29,0x3EB29
Ash Salts,0x401CD6D,Fatigue,0x73F23,23.6,0,383,0,1,1,0,0,1,1,1,MagicAlchHarmful;MagicAlchDurationBased;MagicAlchFatigue_CACO,0x73F23,0x73F23
Ash Salts,0x401CD6D,Resist Magic,0x39E51,1.24,0.95,60,1,0,0,0,1,0,0,0,MagicAlchResistMagic;MagicAlchBeneficial,0x39E51,0x39E51
Ashen Grass Pod,0x4016E26,Resist Fire,0x3EAEA,0.365,2.42,60,1,0,0,0,1,0,0,0,MagicAlchResistFire;MagicAlchBeneficial,0x3EAEA,0x3EAEA
Ashen Grass Pod,0x4016E26,Fortify Sneak,0x3EB22,0.89,1.1,60,1,0,0,0,1,0,0,0,MagicAlchFortifySneak;MagicAlchBeneficial,0x3EB22,0x3EB22
Ashen Grass Pod,0x4016E26,Fortify Lockpicking,0x3EB21,0.58,1.96,30,1,0,0,0,1,0,0,0,MagicAlchFortifyLockpicking;MagicAlchBeneficial,0x3EB21,0x3EB21
Ashen Grass Pod,0x4016E26,Shock Aversion,0x73F2F,0.32,3.12,30,1,0,0,0,0,1,1,0,MagicAlchHarmful;MagicAlchWeaknessShock,0x73F2F,0x73F2F
Aster Bloom Core,0xFE004D66,Stamina Regeneration,0x3EB08,0.0252,6.08,240,1,0,0,0,1,0,0,0,MagicAlchFortifyStaminaRate;MagicAlchBeneficial,0x3EB08,0x3EB08
Aster Bloom Core,0xFE004D66,Fortify Light Armor,0x3EB1F,0.51,1.55,60,1,0,0,0,1,0,0,0,MagicAlchFortifyLightArmor;MagicAlchBeneficial,0x3EB1F,0x3EB1F
Aster Bloom Core,0xFE004D66,Fortify Block,0x3EB1C,0.49,1.51,60,1,0,0,0,1,0,0,0,MagicAlchFortifyBlock;MagicAlchBeneficial,0x3EB1C,0x3EB1C
Aster Bloom Core,0xFE004D66,Slow,0x73F25,0.3,50,335,0,1,0,0,0,1,1,1,MagicAlchHarmful;MagicSlow;MagicAlchDurationBased,0x73F25,0x73F25
Atlas Moth,0x83353B8,Damage Stamina Regen,0x73F2C,0.345,3.85,30,1,0,0,0,0,1,1,0,MagicAlchHarmful,0x73F2C,0x73F2C
Atlas Moth,0x83353B8,Detect Life,0x804C7FF,18.6,0,366,0,1,1,0,1,0,0,1,MagicAlchBeneficial;MagicAlchDurationBased;MagicAlchDetectLife_CACO,0x804C7FF,0x804C7FF
Atlas Moth,0x83353B8,Magic Aversion,0x73F51,0.43,4.15,30,1,0,0,0,0,1,1,0,MagicAlchHarmful;MagicAlchWeaknessMagic,0x73F51,0x73F51
Atlas Moth,0x83353B8,Night Eye,0x804C7FD,10.5,0,599,0,1,1,0,1,0,0,1,MagicNightEye;MagicAlchBeneficial;MagicAlchDurationBased,0x804C7FD,0x804C7FD
Ayleid Moon Moth,0x832B1A3,Drain Intelligence,0x804C7FB,0.67,3.16,30,1,0,0,0,0,1,1,0,MagicAlchHarmful;MagicAlchDrainIntelligence_CACO,0x804C7FB,0x804C7FB
Ayleid Moon Moth,0x832B1A3,Fortify Alteration,0x3EB24,0.172,4.57,60,1,0,0,0,1,0,0,0,MagicAlchFortifyAlteration;MagicAlchBeneficial,0x3EB24,0x3EB24
Ayleid Moon Moth,0x832B1A3,Fortify Restoration,0x3EB28,0.235,3.41,60,1,0,0,0,1,0,0,0,MagicAlchFortifyRestoration;MagicAlchBeneficial,0x3EB28,0x3EB28
Ayleid Moon Moth,0x832B1A3,Shock Aversion,0x73F2F,0.32,2.67,30,1,0,0,0,0,1,1,0,MagicAlchHarmful;MagicAlchWeaknessShock,0x73F2F,0x73F2F
Banded Pennant,0x8660004,Lingering Damage Undead,0x10DE5E,12.8,0.56,10,1,0,0,0,0,1,1,0,MagicAlchHarmful,0x10DE5E,0x10DE5E
Banded Pennant,0x8660004,Stamina Regeneration,0x3EB08,0.0252,4.15,240,1,0,0,0,1,0,0,0,MagicAlchFortifyStaminaRate;MagicAlchBeneficial,0x3EB08,0x3EB08
Banded Pennant,0x8660004,Magicka Regeneration,0x3EB07,0.0252,5.53,180,1,0,0,0,1,0,0,0,MagicAlchFortifyMagickaRate;MagicAlchBeneficial,0x3EB07,0x3EB07
Banded Pennant,0x8660004,Waterwalking,0x40390E1,9.4,0,266,0,1,1,0,1,0,0,1,MagicAlchBeneficial;MagicAlchDurationBased,0x40390E1,0x40390E1
Barley,0x897B010,Magicka,0x3EB17,4.7,3.7,1,1,0,0,0,1,0,0,0,MagicAlchRestoreMagicka;MagicAlchBeneficial,0x3EB17,0x3EB17
Barley,0x897B010,Magicka Fortification,0x3EAF8,0.13,2.22,60,1,0,0,0,1,0,0,0,MagicAlchFortifyMagicka;MagicAlchBeneficial,0x3EAF8,0x3EAF8
Barley,0x897B010,Fortify Heavy Armor,0x3EB1E,0.51,0.78,60,1,0,0,0,1,0,0,0,MagicAlchFortifyHeavyArmor;MagicAlchBeneficial,0x3EB1E,0x3EB1E
Barley,0x897B010,Damage Stamina Regen,0x73F2C,0.345,1.01,30,1,0,0,0,0,1,1,0,MagicAlchHarmful,0x73F2C,0x73F2C
Barley Extract,0x89EA788,Magicka,0x3EB17,4.7,9.25,1,1,0,0,0,1,0,0,0,MagicAlchRestoreMagicka;MagicAlchBeneficial,0x3EB17,0x3EB17
Barley Extract,0x89EA788,Magicka Fortification,0x3EAF8,0.13,5.55,60,1,0,0,0,1,0,0,0,MagicAlchFortifyMagicka;MagicAlchBeneficial,0x3EAF8,0x3EAF8
Barley Extract,0x89EA788,Fortify Heavy Armor,0x3EB1E,0.51,1.55,60,1,0,0,0,1,0,0,0,MagicAlchFortifyHeavyArmor;MagicAlchBeneficial,0x3EB1E,0x3EB1E
Barley Extract,0x89EA788,Damage Stamina Regen,0x73F2C,0.345,3.35,30,1,0,0,0,0,1,1,0,MagicAlchHarmful,0x73F2C,0x73F2C
Bear Bile,0x8326085,Fortify Heavy Armor,0x3EB1E,0.51,1.86,60,1,0,0,0,1,0,0,0,MagicAlchFortifyHeavyArmor;MagicAlchBeneficial,0x3EB1E,0x3EB1E
Bear Bile,0x8326085,Fortify Speech,0xD6947,0.27,3.03,60,1,0,0,0,1,0,0,0,MagicAlchFortifySpeechcraft;MagicAlchBeneficial,0xD6947,0xD6947
Bear Bile,0x8326085,Fortify Light Armor,0x3EB1F,0.51,1.55,60,1,0,0,0,1,0,0,0,MagicAlchFortifyLightArmor;MagicAlchBeneficial,0x3EB1F,0x3EB1F
Bear Bile,0x8326085,Frenzy,0x73F29,0.62,2.8,30,1,0,0,0,0,1,1,0,MagicAlchHarmful;MagicInfluence;MagicInfluenceFrenzy,0x73F29,0x73F29
Bear Claws,0x6BC02,Health Fortification,0x3EAF3,0.13,6.38,60,1,0,0,0,1,0,0,0,MagicAlchFortifyHealth;MagicAlchBeneficial,0x3EAF3,0x3EAF3
Bear Claws,0x6BC02,Stamina,0x3EB16,4.7,10.18,1,1,0,0,0,1,0,0,0,MagicAlchRestoreStamina;MagicAlchBeneficial,0x3EB16,0x3EB16
Bear Claws,0x6BC02,Fortify One-handed,0x3EB19,0.325,3.08,60,1,0,0,0,1,0,0,0,MagicAlchFortifyOneHanded;MagicAlchBeneficial,0x3EB19,0x3EB19
Bear Claws,0x6BC02,Fortify Block,0x3EB1C,0.49,1.55,60,1,0,0,0,1,0,0,0,MagicAlchFortifyBlock;MagicAlchBeneficial,0x3EB1C,0x3EB1C
Bear Fat,0x1CCA143,Resist Poison,0x90041,0.157,4.3,60,1,0,0,0,1,0,0,0,MagicAlchResistPoison;MagicAlchBeneficial,0x90041,0x90041
Bear Fat,0x1CCA143,Stamina,0x3EB16,4.7,11.1,1,1,0,0,0,1,0,0,0,MagicAlchRestoreStamina;MagicAlchBeneficial,0x3EB16,0x3EB16
Bear Fat,0x1CCA143,Health,0x3EB15,5.3,10.18,1,1,0,0,0,1,0,0,0,MagicAlchRestoreHealth;MagicAlchBeneficial,0x3EB15,0x3EB15
Bear Fat,0x1CCA143,Cure Disease,0xAE722,45,1,0,0,0,0,1,1,0,0,0,MagicAlchBeneficial;MagicAlchCureDisease_CACO,0xAE722,0xAE722
Bee,0xA9195,Stamina,0x3EB16,4.7,11.56,1,1,0,0,0,1,0,0,0,MagicAlchRestoreStamina;MagicAlchBeneficial,0x3EB16,0x3EB16
Bee,0xA9195,Stamina Regeneration,0x3EB08,0.0252,6.91,240,1,0,0,0,1,0,0,0,MagicAlchFortifyStaminaRate;MagicAlchBeneficial,0x3EB08,0x3EB08
Bee,0xA9195,Fatigue,0x73F23,23.6,0,333,0,1,1,0,0,1,1,1,MagicAlchHarmful;MagicAlchDurationBased;MagicAlchFatigue_CACO,0x73F23,0x73F23
Bee,0xA9195,Shock Aversion,0x73F2F,0.32,3.56,30,1,0,0,0,0,1,1,0,MagicAlchHarmful;MagicAlchWeaknessShock,0x73F2F,0x73F2F
Beehive Husk,0xA9191,Fortify Light Armor,0x3EB1F,0.51,1.24,60,1,0,0,0,1,0,0,0,MagicAlchFortifyLightArmor;MagicAlchBeneficial,0x3EB1F,0x3EB1F
Beehive Husk,0xA9191,Cure Poison,0x109ADD,35,1,0,0,0,0,1,1,0,0,0,MagicAlchBeneficial;MagicAlchCurePoison_CACO,0x109ADD,0x109ADD
Beehive Husk,0xA9191,Fortify Sneak,0x3EB22,0.89,0.83,60,1,0,0,0,1,0,0,0,MagicAlchFortifySneak;MagicAlchBeneficial,0x3EB22,0x3EB22
Beehive Husk,0xA9191,Fortify Destruction,0x3EB26,0.325,1.68,60,1,0,0,0,1,0,0,0,MagicAlchFortifyDestruction;MagicAlchBeneficial,0x3EB26,0x3EB26
Bergamot Seeds,0x80CB2B6,Resist Paralysis,0x806AE49,19,0,348,0,1,1,0,1,0,0,1,MagicAlchResistParalysis_CACO;MagicAlchDurationBased;MagicAlchBeneficial,0x806AE49,0x806AE49
Bergamot Seeds,0x80CB2B6,Lingering Damage Undead,0x10DE5E,12.8,0.32,10,1,0,0,0,0,1,1,0,MagicAlchHarmful,0x10DE5E,0x10DE5E
Bergamot Seeds,0x80CB2B6,Resist Disease,0x806AE45,0.015,100,1332,0,1,0,0,1,0,0,1,MagicAlchResistDisease_CACO;MagicAlchBeneficial;MagicAlchDurationBased,0x806AE45,0x806AE45
Bergamot Seeds,0x80CB2B6,Silence,0x73F27,113,0,43,0,1,1,0,0,1,1,1,MagicAlchHarmful;MagicAlchDurationBased;MagicAlchSilence_CACO,0x73F27,0x73F27
Berit's Ashes,0x705B7,Damage Stamina,0x3A2C6,4.6,12.21,1,1,0,0,0,0,1,1,0,MagicAlchHarmful;MagicAlchDamageStamina,0x3A2C6,0x3A2C6
Berit's Ashes,0x705B7,Fortify Conjuration,0x3EB25,0.172,4.15,60,1,0,0,0,1,0,0,0,MagicAlchFortifyConjuration;MagicAlchBeneficial,0x3EB25,0x3EB25
Berit's Ashes,0x705B7,Resist Fire,0x3EAEA,0.365,1.98,60,1,0,0,0,1,0,0,0,MagicAlchResistFire;MagicAlchBeneficial,0x3EAEA,0x3EAEA
Berit's Ashes,0x705B7,Night Eye,0x804C7FD,10.5,0,399,0,1,1,0,1,0,0,1,MagicNightEye;MagicAlchBeneficial;MagicAlchDurationBased,0x804C7FD,0x804C7FD
Bittergreen Petals,0xFE004D68,Drain Strength,0x80476F6,0.67,2.8,30,1,0,0,0,0,1,1,0,MagicAlchHarmful,0x80476F6,0x80476F6
Bittergreen Petals,0xFE004D68,Invisibility,0x3EB3D,27,0,331,0,1,1,0,1,0,0,1,MagicInvisibility;MagicAlchBeneficial;MagicAlchDurationBased,0x3EB3D,0x3EB3D
Bittergreen Petals,0xFE004D68,Magicka,0x3EB17,4.7,9.25,1,1,0,0,0,1,0,0,0,MagicAlchRestoreMagicka;MagicAlchBeneficial,0x3EB17,0x3EB17
Bittergreen Petals,0xFE004D68,Drain Intelligence,0x804C7FB,0.67,3.1,30,1,0,0,0,0,1,1,0,MagicAlchHarmful;MagicAlchDrainIntelligence_CACO,0x804C7FB,0x804C7FB
Bitterling,0x833F5DC,Waterbreathing,0x3AC2D,7.7,0,665,0,1,1,0,1,0,0,1,MagicAlchBeneficial;MagicAlchDurationBased,0x3AC2D,0x3AC2D
Bitterling,0x833F5DC,Frost Aversion,0x73F2E,0.32,4.45,30,1,0,0,0,0,1,1,0,MagicAlchHarmful;MagicAlchWeaknessFrost,0x73F2E,0x73F2E
Bitterling,0x833F5DC,Cure Disease,0xAE722,45,1,0,0,0,0,1,1,0,0,0,MagicAlchBeneficial;MagicAlchCureDisease_CACO,0xAE722,0xAE722
Bitterling,0x833F5DC,Health,0x3EB15,5.3,6.94,1,1,0,0,0,1,0,0,0,MagicAlchRestoreHealth;MagicAlchBeneficial,0x3EB15,0x3EB15
Black Lichen,0x8A10056,Slow,0x73F25,0.3,50,335,0,1,0,0,0,1,1,1,MagicAlchHarmful;MagicSlow;MagicAlchDurationBased,0x73F25,0x73F25
Black Lichen,0x8A10056,Cure Poison,0x109ADD,35,1,0,0,0,0,1,1,0,0,0,MagicAlchBeneficial;MagicAlchCurePoison_CACO,0x109ADD,0x109ADD
Black Lichen,0x8A10056,Resist Frost,0x3EAEB,0.365,1.98,60,1,0,0,0,1,0,0,0,MagicAlchResistFrost;MagicAlchBeneficial,0x3EAEB,0x3EAEB
Black Lichen,0x8A10056,Drain Strength,0x80476F6,0.67,1.93,30,1,0,0,0,0,1,1,0,MagicAlchHarmful,0x80476F6,0x80476F6
Black Pearl,0x1CC0635,Damage Undead,0x10DE5F,8.3,9.04,1,1,0,0,0,0,1,1,0,MagicAlchHarmful;MagicAlchDamageHealth,0x10DE5F,0x10DE5F
Black Pearl,0x1CC0635,Resist Paralysis,0x806AE49,19,0,364,0,1,1,0,1,0,0,1,MagicAlchResistParalysis_CACO;MagicAlchDurationBased;MagicAlchBeneficial,0x806AE49,0x806AE49
Black Pearl,0x1CC0635,Cure Poison,0x109ADD,35,1,0,0,0,0,1,1,0,0,0,MagicAlchBeneficial;MagicAlchCurePoison_CACO,0x109ADD,0x109ADD
Black Pearl,0x1CC0635,Night Eye,0x804C7FD,10.5,0,333,0,1,1,0,1,0,0,1,MagicNightEye;MagicAlchBeneficial;MagicAlchDurationBased,0x804C7FD,0x804C7FD
Blackbrow Bleak,0x8326087,Frost Aversion,0x73F2E,0.32,2.67,30,1,0,0,0,0,1,1,0,MagicAlchHarmful;MagicAlchWeaknessFrost,0x73F2E,0x73F2E
Blackbrow Bleak,0x8326087,Cure Poison,0x109ADD,35,1,0,0,0,0,1,1,0,0,0,MagicAlchBeneficial;MagicAlchCurePoison_CACO,0x109ADD,0x109ADD
Blackbrow Bleak,0x8326087,Fire Aversion,0x73F2D,0.32,2.23,30,1,0,0,0,0,1,1,0,MagicAlchHarmful;MagicAlchWeaknessFire,0x73F2D,0x73F2D
Blackbrow Bleak,0x8326087,Shock Aversion,0x73F2F,0.32,2.23,30,1,0,0,0,0,1,1,0,MagicAlchHarmful;MagicAlchWeaknessShock,0x73F2F,0x73F2F
Bleeding Crown,0x4DA20,Fire Aversion,0x73F2D,0.32,4.45,30,1,0,0,0,0,1,1,0,MagicAlchHarmful;MagicAlchWeaknessFire,0x73F2D,0x73F2D
Bleeding Crown,0x4DA20,Poison Aversion,0x90042,0.39,3.02,30,1,0,0,0,0,1,1,0,MagicAlchHarmful;USKPMagicAlchWeaknessPoison,0x90042,0x90042
Bleeding Crown,0x4DA20,Fortify Light Armor,0x3EB1F,0.51,0.93,60,1,0,0,0,1,0,0,0,MagicAlchFortifyLightArmor;MagicAlchBeneficial,0x3EB1F,0x3EB1F
Bleeding Crown,0x4DA20,Fortify Block,0x3EB1C,0.49,0.93,60,1,0,0,0,1,0,0,0,MagicAlchFortifyBlock;MagicAlchBeneficial,0x3EB1C,0x3EB1C
Blind Betty,0x8326088,Lingering Damage Undead,0x10DE5E,12.8,0.6,10,1,0,0,0,0,1,1,0,MagicAlchHarmful,0x10DE5E,0x10DE5E
