ingredient_name,form_id,effect_name,effect_form_id,base_cost,magnitude,duration,power_affects_magnitude,power_affects_duration,no_magnitude,no_duration,beneficial,harmful,hostile,duration_based,keyword_editor_ids,source_effect_form_id,resolved_effect_form_id
Ambrosia,0xFE004836,Regenerate Health,0x3EB06,0.1,6,300,1,0,0,0,1,0,0,0,MagicAlchFortifyHealRate;MagicAlchBeneficial,0x3EB06,0x3EB06
Ambrosia,0xFE004836,Fortify Health,0x3EAF3,0.35,5,60,1,0,0,0,1,0,0,0,MagicAlchFortifyHealth;MagicAlchBeneficial,0x3EAF3,0x3EAF3
Ambrosia,0xFE004836,Cure Poison,0x109ADD,0.2,3,0,1,0,0,1,1,0,0,0,MagicAlchBeneficial,0x109ADD,0x109ADD
Ancestor Moth Wing,0x20059BA,Damage Stamina,0x3A2C6,1.8,3,0,1,0,0,0,0,1,1,0,MagicAlchHarmful,0x3A2C6,0x3A2C6
Ancestor Moth Wing,0x20059BA,Fortify Conjuration,0x3EB25,0.25,5,60,1,0,0,0,1,0,0,0,MagicAlchFortifyConjuration;MagicAlchBeneficial,0x3EB25,0x3EB25
Ancestor Moth Wing,0x20059BA,Damage Magicka Regen,0x73F2B,0.5,100,5,0,1,0,0,0,1,1,1,MagicAlchHarmful,0x73F2B,0x73F2B
Ancestor Moth Wing,0x20059BA,Fortify Enchanting,0x3EB29,0.6,1,30,1,0,0,0,1,0,0,0,MagicAlchFortifyEnchanting;MagicAlchBeneficial,0x3EB29,0x3EB29
Angelfish,0x50008EB,Regenerate Health,0x3EB06,0.1,5,300,1,0,0,0,1,0,0,0,MagicAlchFortifyHealRate;MagicAlchBeneficial,0x3EB06,0x3EB06
Angelfish,0x50008EB,Resist Fire,0x3EAEA,0.5,3,60,1,0,0,0,1,0,0,0,MagicAlchResistFire;MagicAlchBeneficial,0x3EAEA,0x3EAEA
Angelfish,0x50008EB,Fortify Archery,0x3EB1B,0.5,4,60,1,0,0,0,1,0,0,0,MagicAlchFortifyMarksman;MagicAlchBeneficial,0x3EB1B,0x3EB1B
Angelfish,0x50008EB,Waterbreathing,0x3AC2D,30,0,5,0,1,1,0,1,0,0,1,MagicAlchBeneficial;MagicAlchDurationBased,0x3AC2D,0x3AC2D
Angler Larvae,0x50008F0,Lingering Damage Health,0x10AA4A,12,1,10,1,0,0,0,0,1,1,0,MagicAlchHarmful,0x10AA4A,0x10AA4A
Angler Larvae,0x50008F0,Regenerate Stamina,0x3EB08,0.1,5,300,1,0,0,0,1,0,0,0,MagicAlchFortifyStaminaRate;MagicAlchBeneficial,0x3EB08,0x3EB08
Angler Larvae,0x50008F0,Waterbreathing,0x3AC2D,30,0,5,0,1,1,0,1,0,0,1,MagicAlchBeneficial;MagicAlchDurationBased,0x3AC2D,0x3AC2D
Angler Larvae,0x50008F0,Fortify Two-handed,0x3EB1A,0.5,4,60,1,0,0,0,1,0,0,0,MagicAlchFortifyTwoHanded;MagicAlchBeneficial,0x3EB1A,0x3EB1A
Ash Creep Cluster,0x401CD74,Damage Stamina,0x3A2C6,1.8,3,0,1,0,0,0,0,1,1,0,MagicAlchHarmful,0x3A2C6,0x3A2C6
Ash Creep Cluster,0x401CD74,Invisibility,0x3EB3D,100,0,4,0,1,1,0,1,0,0,1,MagicInvisibility;MagicAlchBeneficial;MagicAlchDurationBased,0x3EB3D,0x3EB3D
Ash Creep Cluster,0x401CD74,Resist Fire,0x3EAEA,0.5,3,60,1,0,0,0,1,0,0,0,MagicAlchResistFire;MagicAlchBeneficial,0x3EAEA,0x3EAEA
Ash Creep Cluster,0x401CD74,Fortify Destruction,0x3EB26,0.5,5,60,1,0,0,0,1,0,0,0,MagicAlchFortifyDestruction;MagicAlchBeneficial,0x3EB26,0x3EB26
Ash Hopper Jelly,0x401CD71,Restore Health,0x3EB15,0.5,5,0,1,0,0,1,1,0,0,0,MagicAlchRestoreHealth;MagicAlchBeneficial,0x3EB15,0x3EB15
Ash Hopper Jelly,0x401CD71,Fortify Light Armor,0x3EB1F,0.5,2,60,1,0,0,0,1,0,0,0,MagicAlchFortifyLightArmor;MagicAlchBeneficial,0x3EB1F,0x3EB1F
Ash Hopper Jelly,0x401CD71,Resist Shock,0x3EAEC,0.5,3,60,1,0,0,0,1,0,0,0,MagicAlchResistShock;MagicAlchBeneficial,0x3EAEC,0x3EAEC
Ash Hopper Jelly,0x401CD71,Weakness to Frost,0x73F2E,0.5,3,30,1,0,0,0,0,1,1,0,MagicAlchHarmful;MagicAlchWeaknessFrost,0x73F2E,0x73F2E
Ashen Grass Pod,0x4016E26,Resist Fire,0x3EAEA,0.5,4,60,1,0,0,0,1,0,0,0,MagicAlchResistFire;MagicAlchBeneficial,0x3EAEA,0x3EAEA
Ashen Grass Pod,0x4016E26,Weakness to Shock,0x73F2F,0.7,3,30,1,0,0,0,0,1,1,0,MagicAlchHarmful;MagicAlchWeaknessShock,0x73F2F,0x73F2F
Ashen Grass Pod,0x4016E26,Fortify Lockpicking,0x3EB21,0.5,2,30,1,0,0,0,1,0,0,0,MagicAlchFortifyLockpicking;MagicAlchBeneficial,0x3EB21,0x3EB21
Ashen Grass Pod,0x4016E26,Fortify Sneak,0x3EB22,0.5,4,60,1,0,0,0,1,0,0,0,MagicAlchFortifySneak;MagicAlchBeneficial,0x3EB22,0x3EB22
Aster Bloom Core,0xFE004D66,Resist Magic,0x39E51,1,2,60,1,0,0,0,1,0,0,0,MagicAlchResistMagic;MagicAlchBeneficial,0x39E51,0x39E51
Aster Bloom Core,0xFE004D66,Fortify Light Armor,0x3EB1F,0.5,4,60,1,0,0,0,1,0,0,0,MagicAlchFortifyLightArmor;MagicAlchBeneficial,0x3EB1F,0x3EB1F
Aster Bloom Core,0xFE004D66,Fortify Block,0x3EB1C,0.5,5,60,1,0,0,0,1,0,0,0,MagicAlchFortifyBlock;MagicAlchBeneficial,0x3EB1C,0x3EB1C
Aster Bloom Core,0xFE004D66,Paralysis,0x73F30,500,0,2,0,1,1,0,0,1,1,1,MagicParalysis;MagicAlchHarmful,0x73F30,0x73F30
Bear Claws,0x6BC02,Restore Stamina,0x3EB16,0.6,4,0,1,0,0,1,1,0,0,0,MagicAlchRestoreStamina;MagicAlchBeneficial,0x3EB16,0x3EB16
Bear Claws,0x6BC02,Fortify Health,0x3EAF3,0.35,4,60,1,0,0,0,1,0,0,0,MagicAlchFortifyHealth;MagicAlchBeneficial,0x3EAF3,0x3EAF3
Bear Claws,0x6BC02,Fortify One-handed,0x3EB19,0.5,4,60,1,0,0,0,1,0,0,0,MagicAlchFortifyOneHanded;MagicAlchBeneficial,0x3EB19,0x3EB19
Bear Claws,0x6BC02,Damage Magicka Regen,0x73F2B,0.5,100,5,0,1,0,0,0,1,1,1,MagicAlchHarmful,0x73F2B,0x73F2B
Bee,0xA9195,Restore Stamina,0x3EB16,0.6,5,0,1,0,0,1,1,0,0,0,MagicAlchRestoreStamina;MagicAlchBeneficial,0x3EB16,0x3EB16
Bee,0xA9195,Ravage Stamina,0x73F23,1.6,2,10,1,0,0,0,0,1,1,0,MagicAlchHarmful,0x73F23,0x73F23
Bee,0xA9195,Regenerate Stamina,0x3EB08,0.1,5,300,1,0,0,0,1,0,0,0,MagicAlchFortifyStaminaRate;MagicAlchBeneficial,0x3EB08,0x3EB08
Bee,0xA9195,Weakness to Shock,0x73F2F,0.7,3,30,1,0,0,0,0,1,1,0,MagicAlchHarmful;MagicAlchWeaknessShock,0x73F2F,0x73F2F
Beehive Husk,0xA9191,Resist Poison,0x90041,0.5,2,60,1,0,0,0,1,0,0,0,MagicAlchResistPoison;MagicAlchBeneficial,0x90041,0x90041
Beehive Husk,0xA9191,Fortify Light Armor,0x3EB1F,0.5,2,60,1,0,0,0,1,0,0,0,MagicAlchFortifyLightArmor;MagicAlchBeneficial,0x3EB1F,0x3EB1F
Beehive Husk,0xA9191,Fortify Sneak,0x3EB22,0.5,2,60,1,0,0,0,1,0,0,0,MagicAlchFortifySneak;MagicAlchBeneficial,0x3EB22,0x3EB22
Beehive Husk,0xA9191,Fortify Destruction,0x3EB26,0.5,5,60,1,0,0,0,1,0,0,0,MagicAlchFortifyDestruction;MagicAlchBeneficial,0x3EB26,0x3EB26
Berit's Ashes,0x705B7,Damage Stamina,0x3A2C6,1.8,3,0,1,0,0,0,0,1,1,0,MagicAlchHarmful,0x3A2C6,0x3A2C6
Berit's Ashes,0x705B7,Resist Fire,0x3EAEA,0.5,3,60,1,0,0,0,1,0,0,0,MagicAlchResistFire;MagicAlchBeneficial,0x3EAEA,0x3EAEA
Berit's Ashes,0x705B7,Fortify Conjuration,0x3EB25,0.25,5,60,1,0,0,0,1,0,0,0,MagicAlchFortifyConjuration;MagicAlchBeneficial,0x3EB25,0x3EB25
Berit's Ashes,0x705B7,Ravage Stamina,0x73F23,1.6,2,10,1,0,0,0,0,1,1,0,MagicAlchHarmful,0x73F23,0x73F23
Bittergreen Petals,0xFE004D68,Lingering Damage Stamina,0x10DE5E,1.8,2,10,1,0,0,0,0,1,1,0,MagicAlchHarmful,0x10DE5E,0x10DE5E
Bittergreen Petals,0xFE004D68,Invisibility,0x3EB3D,100,0,6,0,1,1,0,1,0,0,1,MagicInvisibility;MagicAlchBeneficial;MagicAlchDurationBased,0x3EB3D,0x3EB3D
Bittergreen Petals,0xFE004D68,Cure Poison,0x109ADD,0.2,2,0,1,0,0,1,1,0,0,0,MagicAlchBeneficial,0x109ADD,0x109ADD
Bittergreen Petals,0xFE004D68,Damage Magicka,0x3A2B6,2.2,4,0,1,0,0,0,0,1,1,0,MagicAlchHarmful,0x3A2B6,0x3A2B6
Bleeding Crown,0x4DA20,Weakness to Fire,0x73F2D,0.6,3,30,1,0,0,0,0,1,1,0,MagicAlchHarmful;MagicAlchWeaknessFire,0x73F2D,0x73F2D
Bleeding Crown,0x4DA20,Fortify Block,0x3EB1C,0.5,4,60,1,0,0,0,1,0,0,0,MagicAlchFortifyBlock;MagicAlchBeneficial,0x3EB1C,0x3EB1C
Bleeding Crown,0x4DA20,Weakness to Poison,0x90042,1,2,30,1,0,0,0,0,1,1,0,MagicAlchHarmful;USKPMagicAlchWeaknessPoison,0x90042,0x90042
Bleeding Crown,0x4DA20,Resist Magic,0x39E51,1,1,60,1,0,0,0,1,0,0,0,MagicAlchResistMagic;MagicAlchBeneficial,0x39E51,0x39E51
Blind Watcher's Eye,0xFE004822,Light,0xFE004846,0.5,0,60,0,1,0,0,1,0,0,1,WISpellColorful;MagicAlchBeneficial,0xFE004846,0xFE004846
Blind Watcher's Eye,0xFE004822,Fortify Magicka,0x3EAF8,0.3,5,60,1,0,0,0,1,0,0,0,MagicAlchFortifyMagicka;MagicAlchBeneficial,0x3EAF8,0x3EAF8
Blind Watcher's Eye,0xFE004822,Fortify Alteration,0x3EB24,0.2,5,60,1,0,0,0,1,0,0,0,MagicAlchFortifyAlteration;MagicAlchBeneficial,0x3EB24,0x3EB24
Blind Watcher's Eye,0xFE004822,Spell Absorption,0xFE004812,0.1,50,60,0,1,0,0,1,0,0,1,MagicAlchBeneficial,0xFE004812,0xFE004812
Bliss Bug Thorax,0x6059155,Weakness to Fire,0x73F2D,0.6,3,30,1,0,0,0,0,1,1,0,MagicAlchHarmful;MagicAlchWeaknessFire,0x73F2D,0x73F2D
Bliss Bug Thorax,0x6059155,Resist Fire,0x3EAEA,0.5,3,60,1,0,0,0,1,0,0,0,MagicAlchResistFire;MagicAlchBeneficial,0x3EAEA,0x3EAEA
Bliss Bug Thorax,0x6059155,Fortify Heavy Armor,0x3EB1E,0.5,2,60,1,0,0,0,1,0,0,0,MagicAlchFortifyHeavyArmor;MagicAlchBeneficial,0x3EB1E,0x3EB1E
Bliss Bug Thorax,0x6059155,Fortify Illusion,0x3EB27,0.4,1,60,1,0,0,0,1,0,0,0,MagicAlchFortifyIllusion;MagicAlchBeneficial,0x3EB27,0x3EB27
Blister Pod Cap,0xFE004D6A,Restore Magicka,0x3EB17,0.6,6,0,1,0,0,1,1,0,0,0,MagicAlchRestoreMagicka;MagicAlchBeneficial,0x3EB17,0x3EB17
Blister Pod Cap,0xFE004D6A,Fortify Magicka,0x3EAF8,0.3,5,60,1,0,0,0,1,0,0,0,MagicAlchFortifyMagicka;MagicAlchBeneficial,0x3EAF8,0x3EAF8
Blister Pod Cap,0xFE004D6A,Night Eye,0xFE004803,0.75,0,60,0,1,0,0,1,0,0,1,MagicNightEye,0xFE004803,0xFE004803
Blister Pod Cap,0xFE004D6A,Invisibility,0x3EB3D,100,0,6,0,1,1,0,1,0,0,1,MagicInvisibility;MagicAlchBeneficial;MagicAlchDurationBased,0x3EB3D,0x3EB3D
Blisterwort,0x4DA25,Damage Stamina,0x3A2C6,1.8,3,0,1,0,0,0,0,1,1,0,MagicAlchHarmful,0x3A2C6,0x3A2C6
Blisterwort,0x4DA25,Frenzy,0x73F29,15,1,10,1,0,0,0,0,1,1,0,MagicAlchHarmful;MagicInfluence;MagicInfluenceFrenzy,0x73F29,0x73F29
Blisterwort,0x4DA25,Restore Health,0x3EB15,0.5,3,0,1,0,0,1,1,0,0,0,MagicAlchRestoreHealth;MagicAlchBeneficial,0x3EB15,0x3EB15
Blisterwort,0x4DA25,Fortify Smithing,0x3EB1D,0.75,4,30,1,0,0,0,1,0,0,0,MagicAlchFortifySmithing;MagicAlchBeneficial,0x3EB1D,0x3EB1D
Blue Butterfly Wing,0x727DE,Damage Stamina,0x3A2C6,1.8,3,0,1,0,0,0,0,1,1,0,MagicAlchHarmful,0x3A2C6,0x3A2C6
Blue Butterfly Wing,0x727DE,Fortify Conjuration,0x3EB25,0.25,5,60,1,0,0,0,1,0,0,0,MagicAlchFortifyConjuration;MagicAlchBeneficial,0x3EB25,0x3EB25
Blue Butterfly Wing,0x727DE,Damage Magicka Regen,0x73F2B,0.5,100,5,0,1,0,0,0,1,1,1,MagicAlchHarmful,0x73F2B,0x73F2B
Blue Butterfly Wing,0x727DE,Fortify Enchanting,0x3EB29,0.6,1,30,1,0,0,0,1,0,0,0,MagicAlchFortifyEnchanting;MagicAlchBeneficial,0x3EB29,0x3EB29
Blue Dartwing,0xE4F0C,Resist Shock,0x3EAEC,0.5,3,60,1,0,0,0,1,0,0,0,MagicAlchResistShock;MagicAlchBeneficial,0x3EAEC,0x3EAEC
Blue Dartwing,0xE4F0C,Fortify Pickpocket,0x3EB20,0.5,4,60,1,0,0,0,1,0,0,0,MagicAlchFortifyPickPocket;MagicAlchBeneficial,0x3EB20,0x3EB20
Blue Dartwing,0xE4F0C,Restore Health,0x3EB15,0.5,5,0,1,0,0,1,1,0,0,0,MagicAlchRestoreHealth;MagicAlchBeneficial,0x3EB15,0x3EB15
Blue Dartwing,0xE4F0C,Fear,0x73F20,5,1,30,1,0,0,0,0,1,1,0,MagicInfluenceFear;MagicAlchHarmful;MagicInfluence,0x73F20,0x73F20
Blue Mountain Flower,0x77E1C,Restore Health,0x3EB15,0.5,5,0,1,0,0,1,1,0,0,0,MagicAlchRestoreHealth;MagicAlchBeneficial,0x3EB15,0x3EB15
Blue Mountain Flower,0x77E1C,Fortify Conjuration,0x3EB25,0.25,5,60,1,0,0,0,1,0,0,0,MagicAlchFortifyConjuration;MagicAlchBeneficial,0x3EB25,0x3EB25
Blue Mountain Flower,0x77E1C,Fortify Health,0x3EAF3,0.35,4,60,1,0,0,0,1,0,0,0,MagicAlchFortifyHealth;MagicAlchBeneficial,0x3EAF3,0x3EAF3
Blue Mountain Flower,0x77E1C,Damage Magicka Regen,0x73F2B,0.5,100,5,0,1,0,0,0,1,1,1,MagicAlchHarmful,0x73F2B,0x73F2B
Boar Tusk,0x401CD6F,Fortify Stamina,0x3EAF9,0.3,5,300,1,0,0,0,1,0,0,0,MagicAlchFortifyStamina;MagicAlchBeneficial,0x3EAF9,0x3EAF9
Boar Tusk,0x401CD6F,Fortify Health,0x3EAF3,0.35,4,300,1,0,0,0,1,0,0,0,MagicAlchFortifyHealth;MagicAlchBeneficial,0x3EAF3,0x3EAF3
Boar Tusk,0x401CD6F,Fortify Block,0x3EB1C,0.5,4,60,1,0,0,0,1,0,0,0,MagicAlchFortifyBlock;MagicAlchBeneficial,0x3EB1C,0x3EB1C
Boar Tusk,0x401CD6F,Frenzy,0x73F29,15,1,10,1,0,0,0,0,1,1,0,MagicAlchHarmful;MagicInfluence;MagicInfluenceFrenzy,0x73F29,0x73F29
Bog Beacon,0xFE004D6C,Restore Magicka,0x3EB17,0.6,6,0,1,0,0,1,1,0,0,0,MagicAlchRestoreMagicka;MagicAlchBeneficial,0x3EB17,0x3EB17
Bog Beacon,0xFE004D6C,Fortify Heavy Armor,0x3EB1E,0.5,3,60,1,0,0,0,1,0,0,0,MagicAlchFortifyHeavyArmor;MagicAlchBeneficial,0x3EB1E,0x3EB1E
Bog Beacon,0xFE004D6C,Fear,0x73F20,5,2,30,1,0,0,0,0,1,1,0,MagicInfluenceFear;MagicAlchHarmful;MagicInfluence,0x73F20,0x73F20
Bog Beacon,0xFE004D6C,Damage Stamina,0x3A2C6,1.8,4,0,1,0,0,0,0,1,1,0,MagicAlchHarmful,0x3A2C6,0x3A2C6
Bone Meal,0x34CDD,Damage Stamina,0x3A2C6,1.8,3,0,1,0,0,0,0,1,1,0,MagicAlchHarmful,0x3A2C6,0x3A2C6
Bone Meal,0x34CDD,Resist Fire,0x3EAEA,0.5,3,60,1,0,0,0,1,0,0,0,MagicAlchResistFire;MagicAlchBeneficial,0x3EAEA,0x3EAEA
Bone Meal,0x34CDD,Fortify Conjuration,0x3EB25,0.25,5,60,1,0,0,0,1,0,0,0,MagicAlchFortifyConjuration;MagicAlchBeneficial,0x3EB25,0x3EB25
Bone Meal,0x34CDD,Ravage Stamina,0x73F23,1.6,2,10,1,0,0,0,0,1,1,0,MagicAlchHarmful,0x73F23,0x73F23
Briar Heart,0x3AD61,Restore Magicka,0x3EB17,0.6,5,0,1,0,0,1,1,0,0,0,MagicAlchRestoreMagicka;MagicAlchBeneficial,0x3EB17,0x3EB17
Briar Heart,0x3AD61,Fortify Block,0x3EB1C,0.5,2,60,1,0,0,0,1,0,0,0,MagicAlchFortifyBlock;MagicAlchBeneficial,0x3EB1C,0x3EB1C
Briar Heart,0x3AD61,Paralysis,0x73F30,500,0,1,0,1,1,0,0,1,1,1,MagicParalysis;MagicAlchHarmful,0x73F30,0x73F30
Briar Heart,0x3AD61,Fortify Magicka,0x3EAF8,0.3,4,60,1,0,0,0,1,0,0,0,MagicAlchFortifyMagicka;MagicAlchBeneficial,0x3EAF8,0x3EAF8
Bungler's Bane,0xFE004802,Slow,0x73F25,1,50,10,0,1,0,0,0,1,1,1,MagicAlchHarmful;MagicSlow,0x73F25,0x73F25
Bungler's Bane,0xFE004802,Ravage Stamina,0x73F23,1.6,3,20,1,0,0,0,0,1,1,0,MagicAlchHarmful,0x73F23,0x73F23
Bungler's Bane,0xFE004802,Damage Stamina Regen,0x73F2C,0.3,100,10,0,1,0,0,0,1,1,1,MagicAlchHarmful,0x73F2C,0x73F2C
Bungler's Bane,0xFE004802,Resist Magic,0x39E51,1,2,60,1,0,0,0,1,0,0,0,MagicAlchResistMagic;MagicAlchBeneficial,0x39E51,0x39E51
Burnt Spriggan Wood,0x401CD6E,Weakness to Fire,0x73F2D,0.6,3,30,1,0,0,0,0,1,1,0,MagicAlchHarmful;MagicAlchWeaknessFire,0x73F2D,0x73F2D
Burnt Spriggan Wood,0x401CD6E,Fortify Alteration,0x3EB24,0.2,4,60,1,0,0,0,1,0,0,0,MagicAlchFortifyAlteration;MagicAlchBeneficial,0x3EB24,0x3EB24
Burnt Spriggan Wood,0x401CD6E,Damage Magicka Regen,0x73F2B,0.5,100,5,0,1,0,0,0,1,1,1,MagicAlchHarmful,0x73F2B,0x73F2B
Burnt Spriggan Wood,0x401CD6E,Slow,0x73F25,1,50,5,0,1,0,0,0,1,1,1,MagicAlchHarmful;MagicSlow,0x73F25,0x73F25
Butterfly Wing,0x727E0,Restore Health,0x3EB15,0.5,5,0,1,0,0,1,1,0,0,0,MagicAlchRestoreHealth;MagicAlchBeneficial,0x3EB15,0x3EB15
Butterfly Wing,0x727E0,Fortify Barter,0x3EB23,2,1,30,1,0,0,0,1,0,0,0,MagicAlchFortifySpeechcraft;MagicAlchBeneficial,0x3EB23,0x3EB23
Butterfly Wing,0x727E0,Lingering Damage Stamina,0x10DE5E,1.8,1,10,1,0,0,0,0,1,1,0,MagicAlchHarmful,0x10DE5E,0x10DE5E
Butterfly Wing,0x727E0,Damage Magicka,0x3A2B6,2.2,3,0,1,0,0,0,0,1,1,0,MagicAlchHarmful,0x3A2B6,0x3A2B6
Canis Root,0x6ABCB,Damage Stamina,0x3A2C6,1.8,3,0,1,0,0,0,0,1,1,0,MagicAlchHarmful,0x3A2C6,0x3A2C6
Canis Root,0x6ABCB,Fortify One-handed,0x3EB19,0.5,4,60,1,0,0,0,1,0,0,0,MagicAlchFortifyOneHanded;MagicAlchBeneficial,0x3EB19,0x3EB19
Canis Root,0x6ABCB,Fortify Archery,0x3EB1B,0.5,4,60,1,0,0,0,1,0,0,0,MagicAlchFortifyMarksman;MagicAlchBeneficial,0x3EB1B,0x3EB1B
Canis Root,0x6ABCB,Paralysis,0x73F30,500,0,1,0,1,1,0,0,1,1,1,MagicParalysis;MagicAlchHarmful,0x73F30,0x73F30
Charred Skeever Hide,0x52695,Restore Stamina,0x3EB16,0.6,5,0,1,0,0,1,1,0,0,0,MagicAlchRestoreStamina;MagicAlchBeneficial,0x3EB16,0x3EB16
Charred Skeever Hide,0x52695,Cure Disease,0xAE722,0.5,2,0,1,0,0,1,1,0,0,0,MagicAlchBeneficial,0xAE722,0xAE722
Charred Skeever Hide,0x52695,Resist Poison,0x90041,0.5,4,60,1,0,0,0,1,0,0,0,MagicAlchResistPoison;MagicAlchBeneficial,0x90041,0x90041
Charred Skeever Hide,0x52695,Restore Health,0x3EB15,0.5,5,0,1,0,0,1,1,0,0,0,MagicAlchRestoreHealth;MagicAlchBeneficial,0x3EB15,0x3EB15
Chaurus Eggs,0x3AD56,Weakness to Poison,0x90042,1,2,30,1,0,0,0,0,1,1,0,MagicAlchHarmful;USKPMagicAlchWeaknessPoison,0x90042,0x90042
Chaurus Eggs,0x3AD56,Fortify Stamina,0x3EAF9,0.3,4,60,1,0,0,0,1,0,0,0,MagicAlchFortifyStamina;MagicAlchBeneficial,0x3EAF9,0x3EAF9
Chaurus Eggs,0x3AD56,Damage Magicka,0x3A2B6,2.2,3,0,1,0,0,0,0,1,1,0,MagicAlchHarmful,0x3A2B6,0x3A2B6
Chaurus Eggs,0x3AD56,Invisibility,0x3EB3D,100,0,4,0,1,1,0,1,0,0,1,MagicInvisibility;MagicAlchBeneficial;MagicAlchDurationBased,0x3EB3D,0x3EB3D
Chaurus Hunter Antennae,0x20183B7,Damage Stamina,0x3A2C6,1.8,3,0,1,0,0,0,0,1,1,0,MagicAlchHarmful,0x3A2C6,0x3A2C6
Chaurus Hunter Antennae,0x20183B7,Fortify Conjuration,0x3EB25,0.25,5,60,1,0,0,0,1,0,0,0,MagicAlchFortifyConjuration;MagicAlchBeneficial,0x3EB25,0x3EB25
Chaurus Hunter Antennae,0x20183B7,Damage Magicka Regen,0x73F2B,0.5,100,5,0,1,0,0,0,1,1,1,MagicAlchHarmful,0x73F2B,0x73F2B
Chaurus Hunter Antennae,0x20183B7,Fortify Enchanting,0x3EB29,0.6,1,30,1,0,0,0,1,0,0,0,MagicAlchFortifyEnchanting;MagicAlchBeneficial,0x3EB29,0x3EB29
Chicken's Egg,0x23D77,Resist Magic,0x39E51,1,1,60,1,0,0,0,1,0,0,0,MagicAlchResistMagic;MagicAlchBeneficial,0x39E51,0x39E51
Chicken's Egg,0x23D77,Damage Magicka Regen,0x73F2B,0.5,100,5,0,1,0,0,0,1,1,1,MagicAlchHarmful,0x73F2B,0x73F2B
Chicken's Egg,0x23D77,Waterbreathing,0x3AC2D,30,0,5,0,1,1,0,1,0,0,1,MagicAlchBeneficial;MagicAlchDurationBased,0x3AC2D,0x3AC2D
Chicken's Egg,0x23D77,Lingering Damage Stamina,0x10DE5E,1.8,1,10,1,0,0,0,0,1,1,0,MagicAlchHarmful,0x10DE5E,0x10DE5E
Chokeberry,0xFE004838,Damage Health,0x3EB42,3,3,1,1,0,0,0,0,1,1,0,MagicAlchHarmful,0x3EB42,0x3EB42
Chokeberry,0xFE004838,Ravage Health,0x73F26,0.4,3,20,1,0,0,0,0,1,1,0,MagicAlchHarmful,0x73F26,0x73F26
Chokeberry,0xFE004838,Lingering Damage Health,0x10AA4A,12,2,10,1,0,0,0,0,1,1,0,MagicAlchHarmful,0x10AA4A,0x10AA4A
Chokeberry,0xFE004838,Weakness to Poison,0x90042,1,3,30,1,0,0,0,0,1,1,0,MagicAlchHarmful;USKPMagicAlchWeaknessPoison,0x90042,0x90042
Chokeweed,0xFE004804,Weakness to Frost,0x73F2E,0.5,4,30,1,0,0,0,0,1,1,0,MagicAlchHarmful;MagicAlchWeaknessFrost,0x73F2E,0x73F2E
